,model,wbit,wikitext2,ptb-new,c4-new,piqa,hellaswag,winogrande,arc_easy,arc_challenge,mmlu_oi
0,opt-125m,4,30.149015426635742,43.022308349609375,28.59689712524414,0.6229597388465724,0.2894841665006971,0.5027624309392266,0.4292929292929293,0.19197952218430034,
0,opt-125m,3,39.48004150390625,54.800445556640625,34.22587203979492,0.6142546245919478,0.2849034056960765,0.5114443567482242,0.3867845117845118,0.19965870307167236,
0,opt-125m,2,1372.6112060546875,933.489013671875,255.96192932128906,0.5402611534276387,0.2724556861183031,0.4988161010260458,0.3114478114478115,0.18003412969283278,
0,opt-350m,4,22.897478103637695,32.7174072265625,23.574098587036133,0.6463547334058759,0.31876120294762,0.5082872928176796,0.4335016835016835,0.20136518771331058,
0,opt-350m,3,26.445070266723633,38.366737365722656,26.400630950927734,0.6218715995647442,0.3163712407886875,0.5303867403314917,0.4145622895622896,0.20477815699658702,
0,opt-350m,2,685.4515991210938,768.4418334960938,246.85202026367188,0.5402611534276387,0.26269667396932883,0.4972375690607735,0.2760942760942761,0.20136518771331058,
0,opt-1.3b,4,14.980125427246094,20.562705993652344,16.320833206176758,0.720892274211099,0.410973909579765,0.5816890292028414,0.5652356902356902,0.25,
0,opt-1.3b,3,16.157093048095703,23.053071975708008,17.397144317626953,0.7040261153427638,0.39822744473212507,0.5761641673243884,0.5521885521885522,0.2235494880546075,
0,opt-1.3b,2,129.78639221191406,201.6464080810547,52.61479949951172,0.573993471164309,0.27375024895439154,0.5406471981057617,0.32365319865319864,0.19368600682593856,
0,opt-2.7b,4,12.464434623718262,18.37645721435547,14.553696632385254,0.736126224156692,0.4525990838478391,0.6085240726124704,0.5984848484848485,0.26535836177474403,
0,opt-2.7b,3,13.74203109741211,20.062177658081055,15.391921997070312,0.721436343852013,0.4305915156343358,0.585635359116022,0.571969696969697,0.2551194539249147,
0,opt-2.7b,2,80.67056274414062,123.5408935546875,39.117156982421875,0.5946681175190425,0.29466241784505076,0.4996053670086819,0.3627946127946128,0.19112627986348124,
0,opt-6.7b,4,11.074273109436035,16.132476806640625,12.837224960327148,0.7611534276387377,0.49751045608444533,0.6408839779005525,0.6481481481481481,0.310580204778157,
0,opt-6.7b,3,11.604768753051758,17.125185012817383,13.437113761901855,0.7557127312295974,0.48078072097191793,0.6448303078137332,0.6435185185185185,0.30802047781569963,
0,opt-6.7b,2,29.77823829650879,48.779029846191406,24.40718650817871,0.6621327529923831,0.36367257518422624,0.5564325177584846,0.48274410774410775,0.23208191126279865,
0,opt-13b,4,10.19391918182373,14.630303382873535,12.133888244628906,0.7606093579978237,0.5185222067317268,0.6527229676400947,0.6717171717171717,0.32849829351535836,
0,opt-13b,3,10.569799423217773,15.103504180908203,12.436357498168945,0.749727965179543,0.5128460466042621,0.6574585635359116,0.6557239057239057,0.3174061433447099,
0,opt-13b,2,29.941116333007812,48.04473114013672,22.18386459350586,0.6828073993471164,0.41366261700856405,0.579321231254933,0.5138888888888888,0.26109215017064846,
0,llama-2-7b,4,5.6153974533081055,299.1168212890625,7.453652381896973,0.780739934711643,0.5647281418044214,0.6921862667719021,0.7563131313131313,0.4189419795221843,0.4517874946588805
0,llama-2-7b,3,6.480320453643799,1715.8115234375,8.436538696289062,0.7557127312295974,0.54052977494523,0.6692975532754538,0.7310606060606061,0.3890784982935154,0.3857712576556046
0,llama-2-7b,2,47.02890396118164,,39.43643569946289,0.5750816104461371,0.29685321649073887,0.5130228887134964,0.33375420875420875,0.20733788395904437,0.24497934767127189
0,llama-2-13b,4,4.995539665222168,51.58000183105469,6.840945243835449,0.7916213275299239,0.5978888667596096,0.7221783741120757,0.7849326599326599,0.47440273037542663,0.5484261501210653
0,llama-2-13b,3,5.420660972595215,57.99512481689453,7.401695251464844,0.7818280739934712,0.5818562039434375,0.7087608524072613,0.7723063973063973,0.42918088737201365,0.5173764421022646
0,llama-2-13b,2,27.261343002319336,575.8053588867188,27.275014877319336,0.6050054406964092,0.36895040828520215,0.5461720599842147,0.4196127946127946,0.22440273037542663,0.24455205811138014
